Clave de la institución,Nombre de la institución
40138,ABC CAPITAL
40133,ACTINVER
40062,AFIRME
90638,AKALA
90706,ARCUS
90659,ASP INTEGRA OPC
40128,AUTOFIN
40127,AZTECA
37166,BaBien
40030,BAJIO
40002,BANAMEX
40154,BANCO FINTERRA
37006,BANCOMEXT
40137,BANCOPPEL
40160,BANCO S3
40152,BANCREA
37019,BANJERCITO
40147,BANKAOOL
40106,BANK OF AMERICA
37009,BANOBRAS
40072,BANORTE
40058,BANREGIO
40060,BANSI
2001,BANXICO
40129,BARCLAYS
40145,BBASE
40012,BBVA MEXICO
40112,BMONEX
90677,CAJA POP MEXICA
90683,CAJA TELEFONIST
90648,CB Evercore
90630,CB INTERCAM
40143,CIBANCO
90631,CI BOLSA
90901,CLS
90903,CoDi Valida
40130,COMPARTAMOS
40140,CONSUBANCO
90652,CREDICAPITAL
40126,CREDIT SUISSE
90680,CRISTOBAL COLON
40151,DONDE
90616,FINAMEX
90634,FINCOMUN
90689,FOMPED
90685,FONDO (FIRA)
90601,GBM
37168,HIPOTECARIA FED
40021,HSBC
40155,ICBC
40036,INBURSA
90902,INDEVAL
40150,INMOBILIARIO
40136,INTERCAM BANCO
90686,INVERCAP
40059,INVEX
40110,JP MORGAN
90653,KUSPIT
90670,LIBERTAD
90602,MASARI
40042,MIFEL
40158,MIZUHO BANK
90600,MONEXCB
40108,MUFG
40132,MULTIVA BANCO
90613,MULTIVA CBOLSA
37135,NAFIN
90684,OPM
40148,PAGATODO
90620,PROFUTURO
40156,SABADELL
40014,SANTANDER
40044,SCOTIABANK
40157,SHINHAN
90646,STP
90656,UNAGRA
90617,VALMEX
90605,VALUE
90608,VECTOR
40113,VE POR MAS
40141,VOLKSWAGEN